1, 22039
2, 11310
3, 581
4, 22620
5, 11891
6, 1162
7, 23201
8, 12472
9, 1743
10, 23782
11, 13053
12, 2324
13, 24363
14, 13634
15, 2905
16, 24944
17, 14215
18, 3486
19, 25525
20, 14796
21, 4067
22, 26106
23, 15377
24, 4648
25, 26687
26, 15958
27, 5229
28, 27268
29, 16539
30, 5810
31, 27849
32, 17120
33, 6391
34, 28430
35, 17701
36, 6972
37, 29011
38, 18282
39, 7553
40, 29592
41, 18863
42, 8134
43, 30173
44, 19444
45, 8715
46, 30754
47, 20025
48, 9296
49, 31335
50, 20606
51, 9877
52, 31916
53, 21187
54, 10458
55, 32497
56, 21768
57, 11039
58, 310
59, 22349
60, 11620
61, 891
62, 22930
63, 12201
64, 1472
65, 23511
66, 12782
67, 2053
68, 24092
69, 13363
70, 2634
71, 24673
72, 13944
73, 3215
74, 25254
75, 14525
76, 3796
77, 25835
78, 15106
79, 4377
80, 26416
81, 15687
82, 4958
83, 26997
84, 16268
85, 5539
86, 27578
87, 16849
88, 6120
89, 28159
90, 17430
91, 6701
92, 28740
93, 18011
94, 7282
95, 29321
96, 18592
97, 7863
98, 29902
99, 19173
100, 8444
101, 30483
102, 19754
103, 9025
104, 31064
105, 20335
106, 9606
107, 31645
108, 20916
109, 10187
110, 32226
111, 21497
112, 10768
113, 39
114, 22078
115, 11349
116, 620
117, 22659
118, 11930
119, 1201
120, 23240
121, 12511
122, 1782
123, 23821
124, 13092
125, 2363
126, 24402
127, 13673
128, 2944
129, 24983
130, 14254
131, 3525
132, 25564
133, 14835
134, 4106
135, 26145
136, 15416
137, 4687
138, 26726
139, 15997
140, 5268
141, 27307
142, 16578
143, 5849
144, 27888
145, 17159
146, 6430
147, 28469
148, 17740
149, 7011
150, 29050
151, 18321
152, 7592
153, 29631
154, 18902
155, 8173
156, 30212
157, 19483
158, 8754
159, 30793
160, 20064
161, 9335
162, 31374
163, 20645
164, 9916
165, 31955
166, 21226
167, 10497
168, 32536
169, 21807
170, 11078
171, 349
172, 22388
173, 11659
174, 930
175, 22969
176, 12240
177, 1511
178, 23550
179, 12821
180, 2092
